Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;Spalte18;Spalte19
D1;05.08.2011;Dortmund;Hamburg;3;1;H;2;0;H;16;8;5;3;12;18;7;7;1;3;0;0;;;;;;;;;;;;;;;;;;;
D1;06.08.2011;Augsburg;Freiburg;2;2;D;0;0;D;11;9;7;4;17;25;5;4;2;4;0;0;;;;;;;;;;;;;;;;;;;
D1;06.08.2011;FC Koln;Wolfsburg;0;3;A;0;1;A;7;17;1;8;15;22;7;5;0;5;1;0;;;;;;;;;;;;;;;;;;;
D1;06.08.2011;Hannover;Hoffenheim;2;1;H;2;1;H;7;12;4;5;14;20;4;5;2;2;0;0;;;;;;;;;;;;;;;;;;;
D1;06.08.2011;Hertha;Nurnberg;0;1;A;0;0;D;4;13;0;7;25;27;2;3;2;3;0;0;;;;;;;;;;;;;;;;;;;
D1;06.08.2011;Stuttgart;Schalke 04;3;0;H;1;0;H;12;15;6;9;13;19;2;6;1;1;0;0;;;;;;;;;;;;;;;;;;;
D1;06.08.2011;Werder Bremen;Kaiserslautern;2;0;H;0;0;D;19;9;5;3;14;27;6;5;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;07.08.2011;Bayern Munich;M'gladbach;0;1;A;0;0;D;19;7;7;3;11;11;12;2;0;1;0;0;;;;;;;;;;;;;;;;;;;
D1;07.08.2011;Mainz;Leverkusen;2;0;H;1;0;H;22;9;8;2;20;19;7;3;3;1;0;0;;;;;;;;;;;;;;;;;;;
D1;13.08.2011;Freiburg;Mainz;1;2;A;0;0;D;18;9;7;4;11;18;4;6;0;2;0;0;;;;;;;;;;;;;;;;;;;
D1;13.08.2011;Hamburg;Hertha;2;2;D;1;1;D;9;24;4;6;13;10;5;6;3;3;0;0;;;;;;;;;;;;;;;;;;;
D1;13.08.2011;Hoffenheim;Dortmund;1;0;H;1;0;H;13;15;3;4;13;11;5;6;4;1;0;0;;;;;;;;;;;;;;;;;;;
D1;13.08.2011;M'gladbach;Stuttgart;1;1;D;0;0;D;10;15;3;7;9;9;2;5;2;2;1;0;;;;;;;;;;;;;;;;;;;
D1;13.08.2011;Nurnberg;Hannover;1;2;A;0;2;A;13;4;5;3;16;19;8;6;2;3;0;0;;;;;;;;;;;;;;;;;;;
D1;13.08.2011;Schalke 04;FC Koln;5;1;H;1;1;D;18;6;5;2;17;16;7;2;0;3;0;0;;;;;;;;;;;;;;;;;;;
D1;13.08.2011;Wolfsburg;Bayern Munich;0;1;A;0;0;D;7;11;1;3;14;15;9;8;0;3;0;0;;;;;;;;;;;;;;;;;;;
D1;14.08.2011;Kaiserslautern;Augsburg;1;1;D;0;1;A;17;13;7;4;21;11;8;1;4;1;0;0;;;;;;;;;;;;;;;;;;;
D1;14.08.2011;Leverkusen;Werder Bremen;1;0;H;0;0;D;16;9;6;1;18;18;7;1;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;19.08.2011;M'gladbach;Wolfsburg;4;1;H;3;1;H;21;7;9;3;13;18;8;6;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;20.08.2011;Augsburg;Hoffenheim;0;2;A;0;1;A;12;17;4;5;18;18;4;2;1;1;0;0;;;;;;;;;;;;;;;;;;;
D1;20.08.2011;Bayern Munich;Hamburg;5;0;H;3;0;H;24;4;13;1;12;16;5;3;2;4;0;0;;;;;;;;;;;;;;;;;;;
