Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
D1;05.08.2011;1;2;3;1;H;2;0;H;16;8;5;3;12;18;7;7;1;3;0;0
D1;06.08.2011;3;4;2;2;D;0;0;D;11;9;7;4;17;25;5;4;2;4;0;0
D1;06.08.2011;5;6;0;3;A;0;1;A;7;17;1;8;15;22;7;5;0;5;1;0
D1;06.08.2011;7;8;2;1;H;2;1;H;7;12;4;5;14;20;4;5;2;2;0;0
D1;06.08.2011;9;10;0;1;A;0;0;D;4;13;0;7;25;27;2;3;2;3;0;0
D1;06.08.2011;11;12;3;0;H;1;0;H;12;15;6;9;13;19;2;6;1;1;0;0
D1;06.08.2011;13;14;2;0;H;0;0;D;19;9;5;3;14;27;6;5;1;2;0;0
D1;07.08.2011;15;16;0;1;A;0;0;D;19;7;7;3;11;11;12;2;0;1;0;0
D1;07.08.2011;17;18;2;0;H;1;0;H;22;9;8;2;20;19;7;3;3;1;0;0
D1;13.08.2011;4;17;1;2;A;0;0;D;18;9;7;4;11;18;4;6;0;2;0;0
D1;13.08.2011;2;9;2;2;D;1;1;D;9;24;4;6;13;10;5;6;3;3;0;0
D1;13.08.2011;8;1;1;0;H;1;0;H;13;15;3;4;13;11;5;6;4;1;0;0
D1;13.08.2011;16;11;1;1;D;0;0;D;10;15;3;7;9;9;2;5;2;2;1;0
D1;13.08.2011;10;7;1;2;A;0;2;A;13;4;5;3;16;19;8;6;2;3;0;0
D1;13.08.2011;12;5;5;1;H;1;1;D;18;6;5;2;17;16;7;2;0;3;0;0
D1;13.08.2011;6;15;0;1;A;0;0;D;7;11;1;3;14;15;9;8;0;3;0;0
D1;14.08.2011;14;3;1;1;D;0;1;A;17;13;7;4;21;11;8;1;4;1;0;0
D1;14.08.2011;18;13;1;0;H;0;0;D;16;9;6;1;18;18;7;1;1;2;0;0
D1;19.08.2011;16;6;4;1;H;3;1;H;21;7;9;3;13;18;8;6;1;2;0;0
D1;20.08.2011;3;8;0;2;A;0;1;A;12;17;4;5;18;18;4;2;1;1;0;0
D1;20.08.2011;15;2;5;0;H;3;0;H;24;4;13;1;12;16;5;3;2;4;0;0
D1;20.08.2011;1;10;2;0;H;0;0;D;12;10;5;3;13;13;5;5;0;2;0;0
D1;20.08.2011;5;14;1;1;D;1;1;D;10;8;5;3;16;22;7;5;3;4;0;0
D1;20.08.2011;11;18;0;1;A;0;1;A;11;11;0;3;18;16;5;4;1;0;1;0
D1;20.08.2011;13;4;5;3;H;2;1;H;26;11;8;7;17;29;12;1;1;4;0;0
D1;21.08.2011;7;9;1;1;D;1;0;H;14;10;6;4;20;20;3;6;1;6;0;0
D1;21.08.2011;17;12;2;4;A;2;0;H;15;12;5;6;15;15;6;5;0;2;0;0
D1;26.08.2011;9;11;1;0;H;0;0;D;16;22;5;5;10;13;4;3;0;1;0;0
D1;27.08.2011;4;6;3;0;H;2;0;H;15;14;4;4;12;21;4;6;0;2;0;0
D1;27.08.2011;2;5;3;4;A;1;1;D;15;7;6;5;18;21;5;4;1;3;0;0
D1;27.08.2011;8;13;1;2;A;1;1;D;15;9;4;4;16;12;3;6;0;1;0;0
D1;27.08.2011;14;15;0;3;A;0;1;A;4;17;1;12;14;17;1;2;3;1;1;0
D1;27.08.2011;18;1;0;0;D;0;0;D;16;13;6;4;11;13;5;3;2;1;1;1
D1;27.08.2011;10;3;1;0;H;0;0;D;15;12;6;2;12;17;4;3;4;2;0;0
D1;28.08.2011;7;17;1;1;D;1;1;D;19;9;8;2;15;24;8;9;2;0;0;0
D1;28.08.2011;12;16;1;0;H;0;0;D;22;12;9;5;11;13;8;6;2;3;0;0
D1;09.09.2011;3;18;1;4;A;1;2;A;17;17;4;9;14;9;4;2;1;3;0;0
D1;10.09.2011;15;4;7;0;H;3;0;H;25;3;12;1;8;8;12;0;0;0;0;0
D1;10.09.2011;1;9;1;2;A;0;0;D;25;11;6;6;13;7;4;1;1;3;0;0
D1;10.09.2011;17;8;0;4;A;0;2;A;13;9;2;5;18;24;7;4;0;0;0;0
D1;10.09.2011;16;14;1;0;H;0;0;D;19;5;4;2;21;19;4;3;2;4;0;0
D1;10.09.2011;11;7;3;0;H;1;0;H;17;9;7;5;8;13;9;4;0;1;0;0
D1;10.09.2011;13;2;2;0;H;0;0;D;22;8;5;3;13;15;11;6;3;5;0;0
D1;11.09.2011;5;10;1;2;A;1;2;A;10;13;2;5;24;18;2;5;3;1;1;1
D1;11.09.2011;6;12;2;1;H;1;1;D;12;6;6;2;17;19;9;3;1;3;0;0
D1;16.09.2011;4;11;1;2;A;0;1;A;18;12;3;5;20;21;6;5;3;4;0;0
D1;17.09.2011;2;16;0;1;A;0;0;D;5;12;2;4;22;15;2;8;2;3;0;0
D1;17.09.2011;9;3;2;2;D;0;1;A;17;7;5;3;13;20;3;2;2;4;0;1
D1;17.09.2011;8;6;3;1;H;2;0;H;14;10;8;6;15;15;4;6;3;1;0;1
D1;17.09.2011;14;17;3;1;H;1;1;D;15;11;7;1;13;20;6;3;0;2;0;0
D1;17.09.2011;18;5;1;4;A;0;1;A;15;8;7;4;15;13;5;0;1;4;1;0
D1;17.09.2011;10;13;1;1;D;0;1;A;21;2;4;1;17;11;13;0;1;1;0;1
D1;18.09.2011;7;1;2;1;H;0;0;D;14;13;5;7;13;8;7;3;1;0;1;0
D1;18.09.2011;12;15;0;2;A;0;1;A;7;19;1;6;16;18;2;5;1;1;0;0
D1;23.09.2011;11;2;1;2;A;1;0;H;17;16;5;8;20;16;3;7;1;1;0;0
D1;24.09.2011;3;7;0;0;D;0;0;D;13;11;3;4;21;17;2;2;1;2;0;0
D1;24.09.2011;15;18;3;0;H;2;0;H;12;4;4;3;10;13;4;1;1;4;0;0
D1;24.09.2011;17;1;1;2;A;1;0;H;9;20;3;9;12;9;3;10;1;0;0;0
D1;24.09.2011;16;10;1;0;H;0;0;D;21;7;9;1;13;18;9;4;1;1;0;0
D1;24.09.2011;12;4;4;2;H;1;1;D;16;14;7;10;19;17;7;1;1;1;0;0
D1;24.09.2011;6;14;1;0;H;0;0;D;6;11;3;2;13;19;4;5;1;2;1;0
D1;25.09.2011;5;8;2;0;H;1;0;H;9;16;4;2;12;18;4;6;1;2;0;0
D1;25.09.2011;13;9;2;1;H;1;1;D;23;8;6;3;22;17;8;3;2;4;0;2
D1;30.09.2011;14;11;0;2;A;0;0;D;22;11;3;5;16;16;9;4;2;1;0;0
D1;01.10.2011;1;3;4;0;H;2;0;H;19;8;9;3;12;14;3;3;2;2;0;0
D1;01.10.2011;4;16;1;0;H;1;0;H;8;19;3;6;23;17;5;7;2;2;0;0
D1;01.10.2011;9;5;3;0;H;3;0;H;10;4;3;2;15;19;3;5;2;2;0;0
D1;01.10.2011;8;15;0;0;D;0;0;D;17;5;5;2;19;26;6;2;1;4;0;0
D1;01.10.2011;18;6;3;1;H;1;0;H;20;7;9;1;17;20;6;4;1;2;0;0
D1;01.10.2011;10;17;3;3;D;2;2;D;9;16;5;7;14;19;2;4;2;0;0;0
D1;02.10.2011;2;12;1;2;A;1;1;D;17;9;6;4;18;16;5;5;3;1;0;0
D1;02.10.2011;7;13;3;2;H;2;1;H;13;17;5;3;22;12;3;1;5;3;0;1
D1;14.10.2011;13;1;0;2;A;0;1;A;24;9;5;5;16;19;11;3;1;1;0;1
D1;15.10.2011;15;9;4;0;H;3;0;H;19;3;8;0;8;13;3;2;0;1;0;0
D1;15.10.2011;17;3;0;1;A;0;0;D;18;10;5;6;19;18;9;4;3;2;0;0
D1;15.10.2011;16;18;2;2;D;0;1;A;23;7;8;4;6;20;4;3;2;4;0;1
D1;15.10.2011;12;14;1;2;A;0;1;A;14;14;4;6;14;21;4;5;3;3;1;1
D1;15.10.2011;11;8;2;0;H;0;0;D;14;15;7;5;22;26;3;3;3;1;0;0
D1;15.10.2011;6;10;2;1;H;1;0;H;12;12;5;6;20;24;1;3;2;2;0;0
D1;16.10.2011;5;7;2;0;H;1;0;H;10;12;3;6;22;17;1;5;3;4;0;0
D1;16.10.2011;4;2;1;2;A;0;1;A;18;11;6;4;16;22;7;2;1;3;0;0
D1;21.10.2011;3;13;1;1;D;0;0;D;10;22;3;7;16;11;4;7;3;2;0;0
D1;22.10.2011;1;5;5;0;H;3;0;H;24;2;9;1;13;10;2;3;2;2;0;0
D1;22.10.2011;2;6;1;1;D;0;1;A;19;8;7;4;23;24;8;4;2;1;0;0
D1;22.10.2011;9;17;0;0;D;0;0;D;8;13;1;3;10;21;3;3;1;3;0;0
D1;22.10.2011;8;16;1;0;H;0;0;D;14;7;5;1;18;15;8;2;1;3;0;0
D1;22.10.2011;14;4;1;0;H;0;0;D;12;9;5;3;18;15;6;4;0;4;0;0
D1;22.10.2011;10;11;2;2;D;1;0;H;17;13;7;2;14;14;4;4;1;2;0;0
D1;23.10.2011;7;15;2;1;H;1;0;H;12;19;3;8;19;13;2;5;4;1;1;1
D1;23.10.2011;18;12;0;1;A;0;0;D;13;18;4;6;14;21;3;3;1;3;0;0
D1;28.10.2011;4;18;0;1;A;0;1;A;21;11;8;3;21;13;6;2;1;0;0;0
D1;29.10.2011;15;10;4;0;H;3;0;H;13;4;5;2;14;14;7;3;1;2;0;0
D1;29.10.2011;17;13;1;3;A;1;1;D;16;13;6;5;23;20;10;0;2;4;0;0
D1;29.10.2011;16;7;2;1;H;1;1;D;18;14;8;2;14;16;5;5;0;3;0;0
D1;29.10.2011;12;8;3;1;H;1;0;H;16;11;10;2;20;20;5;4;1;2;0;0
D1;29.10.2011;11;1;1;1;D;1;1;D;12;15;6;6;18;13;6;7;3;2;0;0
D1;29.10.2011;6;9;2;3;A;1;2;A;17;12;5;7;24;13;6;7;3;2;0;0
D1;30.10.2011;5;3;3;0;H;2;0;H;5;15;3;5;17;13;1;2;1;2;0;1
D1;30.10.2011;2;14;1;1;D;0;1;A;16;11;5;5;18;23;4;3;2;2;1;0
D1;04.11.2011;17;11;3;1;H;0;0;D;15;18;9;7;18;16;4;6;2;3;1;1
D1;05.11.2011;1;6;5;1;H;2;0;H;21;6;11;3;12;18;8;6;1;4;0;0
D1;05.11.2011;9;16;1;2;A;1;1;D;11;12;3;5;18;14;5;4;0;2;0;0
D1;05.11.2011;8;14;1;1;D;1;0;H;11;19;3;3;23;21;4;3;5;1;0;0
D1;05.11.2011;18;2;2;2;D;2;1;H;15;14;5;3;18;17;5;4;2;1;0;0
D1;05.11.2011;10;4;1;2;A;1;1;D;12;10;4;3;14;20;5;2;4;1;0;0
D1;05.11.2011;13;5;3;2;H;0;2;A;29;5;7;4;13;14;10;4;3;3;0;1
D1;06.11.2011;3;15;1;2;A;0;2;A;10;14;2;5;17;15;1;3;1;2;0;1
